ID,Date,Text
4294967300,"25 November 2023, 15:06:31","متابعة إخبارية : ""أعداد قليلة من المصلين يؤدون صلاة الفجر في المصلى القبلي اليوم بسبب تقييدات الاحتلال المفروضة على الدخول للأقصى"""
4294967305,"25 November 2023, 15:16:44","متابعة إخبارية  : ""مشاهد توثق حجم الدمار الكبير الذي تسبب به قصف الاحتلال خلال الفترة الماضية لمنطقة بئر النعجة شمال غزة""."
4294967306,"25 November 2023, 15:26:33","محامي مركز معلومات وادي حلوة في القدس : ""الاحتلال يفرض اليوم شروط الإفراج ذاتها على عائلات أسرى القدس بمنع مظاهر التجمهر والاحتفال"""
4294967308,"25 November 2023, 15:53:11",جانب من دخول شاحنات تحمل مساعدات عبر معبر رفح في اليوم الثاني من الهدنة المؤقتة.
4294967315,"25 November 2023, 16:02:59",فلسطيني يعبر عن مدى فرحته بحصوله على أنبوبة غاز في مدينة غزة.
4294967316,"25 November 2023, 16:30:16","متابعة إخبارية: ""الاحتلال ينقل الأسيرات والأسرى المنوي الإفراج عنهم اليوم في إطار صفقة التبادل مع المقاومة إلى سجن ""عوفر"" غرب رام الله""."
4294967317,"25 November 2023, 17:16:17","الإعلام العبري: ""لم يتعرض الأسرى في غزة لأي اعتداء منذ احتجازهم وتم التعامل معهم بإنسانية""."
4294967318,"25 November 2023, 17:20:09","متابعة إخبارية: ""الاحتلال يطلق قنابل الغاز على الفلسطينيين في محيط سجن عوفر"""
4294967319,"25 November 2023, 17:40:04",رويترز: مصر تلقَّت إشارات إيجابية من كل الأطراف بشأن تمديد الهدنة في غزة
4294967320,"25 November 2023, 17:47:10","متابعة إخبارية: ""فلسطيني يحتفظ بقرط طفلته التي ارتقت بقصف طائرات الاحتلال على غزة"""
4294967321,"25 November 2023, 17:58:17",تجمّع الأهالي في محيط سجن عوفر غرب رام الله في انتظار الأسرى والأسيرات الذين سيُفرج عنهم.. في اليوم الثاني لصفقة التبادل
4294967322,"25 November 2023, 18:03:25",متابعة إخبارية: قوات الاحتلال تغلق حاجز جبع شمال شرق مدينة القدس
4294967323,"25 November 2023, 18:12:46","متابعة إخبارية: ""قوات الاحتلال تفرض قيود على الحاجز القريب من سجن عوفر  المتواجدين فيه الأسرى والأسيرات الذين سيُفرج عنهم ضمن اليوم الثاني لصفقة التبادل"
4294967325,"25 November 2023, 18:23:00","متابعة إخبارية: ""إصابة برصاص الاحتلال أمام سجن ""عوفر"" غرب رام الله"""
4294967327,"25 November 2023, 18:48:13","متابعة إخبارية: ""إصابة ثانية برصاص الاحتلال أمام سجن ""عوفر"" غرب رام الله"""
4294967330,"25 November 2023, 19:08:52","متابعة إخبارية: ""إصابة ثالثة برصاص قوات الاحتلال أمام سجن ""عوفر"" غرب مدينة رام الله، حيث ينتظر الأهالي خروج الدفعة الثانية من الأسرى ضمن صفقة التبادل"
4294967331,"25 November 2023, 19:20:30","متابعة إخبارية: ""إصابة رابعة برصاص الاحتلال أمام سجن ""عوفر"" غرب رام الله"""
4294967332,"25 November 2023, 19:22:48","متابعة إخبارية: ""قوات الاحتلال تقتحم مدينة جنين"""
4294967333,"25 November 2023, 19:35:38","متابعة إخبارية: ""مساجد بلدة صور باهر جنوب شرق القدس تنعى الشهيد المقدسي محمد حمادة المبعد إلى غزة والذي ارتقى في قصف استهدفه قبل أيام"""
4294967334,"25 November 2023, 19:36:36","متابعة إخبارية: ""ارتقاء الأسير المقدسي المحرر المُبعد إلى غزة محمد حمادة من بلدة صور باهر بالقدس في قصف استهدفه قبل أيام"""
4294967335,"25 November 2023, 19:39:10","متابعة إخبارية: ""جيش الاحتلال يحاصر مستشفى جنين الحكومي ويدفع بتعزيزات إضافية للمدينة"""
4294967336,"25 November 2023, 19:44:22","عاجل| متابعة إخبارية: ""إصابة شاب برصاص قناصة الاحتلال في حارة الدمج بمخيم جنين."""
4294967337,"25 November 2023, 19:57:49","متابعة إخبارية: ""قوات الاحتلال تُحاصر المستشفى الحكومي وإبن سينا في مدينة جنين"""
4294967338,"25 November 2023, 20:01:02","متابعة إخبارية: ""وإنّا على فراقك يا محمد لمحزونون"".. والد الشهيد المقدسي محمد حمادة المُبعد إلى غزة ينعي ولده"""
4294967339,"25 November 2023, 20:23:03","متابعة إخبارية: ""استمرار الاشتباكات ضد قوات الاحتلال في مخيم جنين"""
4294967340,"25 November 2023, 20:28:25","متابعة إخبارية: ""إصابة شابين أحدهما بجراح خطيرة برصاص الاحتلال في جنين"""
4294967341,"25 November 2023, 20:46:32","متابعة إخبارية: ""جرافات الاحتلال تدمر البنية التحتية في مدينة جنين"""
4294967342,"25 November 2023, 20:52:39","متابعة إخبارية: ""5 إصابات برصاص الاحتلال في جنين"""
4294967343,"25 November 2023, 21:05:54","متابعة إخبارية: ""قوات الاحتلال تقتحم منزل عائلة الشهيد المُبعد إلى غزة محمد حمادة في بلدة صور باهر جنوب شرق القدس وتُخليه من سكانه"""
4294967344,"25 November 2023, 21:27:23","وزارة الصحة: ""شهيد و ٣ إصابات خطيرة برصاص الاحتلال في جنين"""
4294967345,"25 November 2023, 21:36:49","متابعة إخبارية: ""استشهاد الفتى عمار أبو الوفا برصاص الاحتلال في جنين."""
4294967346,"25 November 2023, 21:37:41","مدير مستشفى الرازي:شهيدان وخمس إصابات برصاص الاحتلال في جنين"""
4294967347,"25 November 2023, 21:51:02","متابعة إخبارية: ""استشهاد الشاب أحمد أبو الهيجا برصاص الاحتلال في جنين"""
4294967348,"25 November 2023, 21:57:54","الخارجية القطرية: ""بعد تأخر في تنفيذ الإفراج عن الأسرى من الجانبين، تم تذليل العقبات عبر الاتصالات القطرية المصرية مع الجانبين وسيتم الإفراج الليلة عن 39 من الأسرى الفلسطينيين في مقابل خروج 13 من المحتجزين الإسرائيليين من غزة بالإضافة إلى 7 من الأجانب خارج إطار الاتفاق""."
4294967349,"25 November 2023, 22:03:36",محدث الصحة: شهيدان و٧ إصابات برصاص الاحتلال في جنين، بينها إصابتان بحالة حرجة.
4294967350,"25 November 2023, 22:04:21","هيئة الأسرى والمحررين ونادي الأسير الفلسطيني يعلنان أسماء الدفعة الثانية من الأسيرات المحررات والأطفال المحررين الذين سيتم الإفراج عنهم اليوم السبت: وهم:

1. اسراء رياض جميل جعابيص / القدس 
2. فدوى نزيه كامل حمادة / القدس 
3. عايشه يوسف عبد الله افغاني / القدس 
4. نورهان إبراهيم خضر عواد /القدس 
5. شروق صالح إبراهيم دويات / القدس 
6. ميسون موسى محمود موسى / بيت لحم 
7. انور صافي احمد عطا / رام الله 
8. رجا اسعد رجا ابو قياص/ جنين 
9. عمر محمد عبد الرحيم شويكي / القدس 
10. حمادة سائد مصطفى ابو سمرة / جنين 
11. إبراهيم وليد إبراهيم تعامرة / بيت لحم 
12. محمد ياسين تيسير صباح  بيت لحم 
13. احمد علي محمد الصباح / بيت لحم 
14. إبراهيم سمير إبراهيم صباح / بيت لحم 
15. مراد فؤاد عبد اللطيف دار عطا / رام الله 
16. احمد وليد محمد خشان  جنين 
17. شاكر علي شاكر سالم بلوط / الخليل 
18. وائل بلال شاكر مشة /نابلس
19. طارق زياد عبد الرحيم داود / قلقيلية 
20. عبد الرحمن محمد صالح حوراني / قلقيلية 
21. مروح ياسر راتب خريميه / جنين
22. عبد الهادي عصام محمد كميل / جنين 
23. صدام أمجد ماجد طقاطقة / بيت لحم 
24. جهاد توفيق جهاد يوسف / رام الله 
25. محمد ايمن عبد الرحمن عريسي / نابلس 
26. مصطفى مازن حسين شحادة / رام الله 
27. عز الدين عنان حسن سوداني / نابلس 
28. شادي محمد ديب ابو عادي / رام الله 
29. ياسين عمر عزات حنفيه / اريحا 
30. يوسف محمود سالم سبتين / الخليل 
31. محمد طارق سليم حواشين / جنين 
32. عبد الكريم انور ظاهر السعدي / جنين 
33. صامد خالد محمود ابو خلف / نابلس 
34. احمد غريب احمد خليل / رام الله 
35. وسام مروان عبد السلام تميمي / رام الله 
36. محمد نصر فوزي سوالمه / نابلس 
37. يزن جبر عبد الجبار الحسنات / بيت لحم 
38. محمد نزار نمر ابو عون / طولكرم 
39. قسم خالد محمد مصاروة / جنين"
4294967351,"25 November 2023, 22:26:42","عاجل| متابعة إخبارية: ""مصلحة السجون الإسرائيلية تؤكد حصولها على ضوء أخضر لبدء مسار الإفراج عن الأسرى الفلسطينيين"""
4294967352,"25 November 2023, 22:45:18","متابعة إخبارية: ""قائمة بأسماء أحرار القدس الذين سيُفرج عنهم هذه الليلة ضمن صفقة التبادل"""
4294967353,"25 November 2023, 22:52:37",انتهت الحكاية وطارت العصافير.. المقدسية إسراء جعابيص على موعد مع الحرية بعد قليل
4294967354,"25 November 2023, 23:00:59","متابعة إخبارية: ""الإفراج عن الأسيرة المقدسية نورهان عوّاد ضمن الفوج الثاني لصفقة المقاومة"""
4294967355,"25 November 2023, 23:08:24","متابعة إخبارية: ""بدء الاستعدادات لاستقبال الأسيرة المقدسية نورهان عواد بمنزلها في مخيم قلنديا شمال القدس"""
4294967357,"25 November 2023, 23:13:18","متابعة إخبارية: ""المقدسية شروق دويات، المحكومة 16 عام وهي الأعلى حُكماً من بين الأسيرات المقدسيات ضمن الفوج الثاني لصفقة المقاومة"""
4294967358,"25 November 2023, 23:19:24","متابعة إخبارية: ""الطفل المقدسي عمر محمد شويكي ضمن الفوج الثاني لصفقة المقاومة"""
4294967359,"25 November 2023, 23:23:40","متابعة إخبارية: ""المقدسية فدوى نزيه حمادة ضمن الفوج الثاني لصفقة المقاومة"""
4294967360,"25 November 2023, 23:31:59","متابعة إخبارية: ""هذه صفقة الدم بأرواح الشهداء"" والدة الأسيرة المقدسية نورهان عواد تتحدث عن ابنتها نورهان التي حكمت بالسجن مدة 10 سنوات وقضت منها ثمانية وستخرج اليوم ضمن صفقة المقاومة"""
4294967361,"25 November 2023, 23:34:12","متابعة إخبارية: ""المقدسية عائيشة أفغاني من ضمن الفوج الثاني لصفقة المقاومة"""
4294967362,"25 November 2023, 23:38:03","متابعة إخبارية: ""أجواء الاستعدادات لاستقبال الأسيرة المقدسية نورهان عواد في منزلها بمخيم قلنديا شمال القدس"
4294967365,"25 November 2023, 23:45:02","متابعة إخبارية: ""أطفال عائلة الأسيرة نورهان عواد في انتظار وصولها إلى المنزل في مخيم قلنديا شمال القدس"""
4294967366,"25 November 2023, 23:48:32","عاجل| متابعة إخبارية: ""شرطة الاحتلال تمنع عائلة الأسيرة اسراء الجعابيص من استقبالها في منزل شقيقها الذي تم تجهيزه لها وتجبرهم على الانتقال إلى منزل آخر للعائلة."""
4294967367,"25 November 2023, 23:51:06",الصحة: الشؤون المدنية الفلسطينية أبلغتنا باستشهاد مواطن (لم تعرف هويته بعد) في مدينة البيرة.
4294967368,"26 November 2023, 00:11:10","متابعة إخبارية: ""بعد 7 سنوات سيعانقون والدتهم.. أبناء الأسيرة فدوى حمادة يتحدثون عن مشاعرهم قُبيل الإفراج عن والدتهم المحكومة بالسجن 10 سنوات والتي قضت منها 7 سنوات وستخرج ضمن صفقة المقاومة"""
4294967369,"26 November 2023, 00:27:40","وزارة الصحة: ""شهيد مدينة البيرة هو الفتى محمد رياض صالح (16 عاماً)"""
4294967370,"26 November 2023, 00:44:05","متابعة إخبارية: ""تعزيزات عسكرية لقوات الاحتلال تقتحم مدينة جنين"""
4294967371,"26 November 2023, 00:55:22","متابعة إخبارية: ""قوات الاحتلال تطلق قنابل الغاز والرصاص الحي تجاه الأهالي في محيط سجن عوفر خلال انتظارهم لخروج الأسرى الذين سيُفرج عنهم ضمن صفقة المقاومة"""
4294967372,"26 November 2023, 00:58:07","الهلال الأحمر: ""شهيد جديد بجنين تسلمته طواقمنا بالقرب من مسجد طوالبة تزامنا مع الاقتحام المستمر للمدينة"""
4294967373,"26 November 2023, 01:05:44",عاجل| وزارة الصحة: أربعة شهداء وأربع إصابات جراء اقتحام الاحتلال لجنين
4294967374,"26 November 2023, 01:19:28","متابعة إخبارية: ""الشهداء أحمد أبو الهيجا ومحمود أبو الهيجا وعمار أبو الوفا ومحمد فريحات الذين ارتقوا خلال الاقتحام المستمر لمدينة جنين"""
4294967375,"26 November 2023, 01:27:49","متابعة إخبارية: ""قوات الاحتلال تستهدف الطواقم الطبية والصحفية وتعتدي عليهم في محيط سجن ""عوفر"" غرب رام الله."""
4294967376,"26 November 2023, 01:36:21","متابعة إخبارية: ""قوات الاحتلال تفرج عن الحافلة التي تقل الأسرى الفتية الذين تحرروا ضمن صفقة المقاومة"""
4294967377,"26 November 2023, 01:37:27","عاجل| متابعة إخبارية: ""وصول الأسيرة المقدسية شروق دويات إلى منزلها في بلدة صور باهر شرق القدس"""
4294967378,"26 November 2023, 01:40:36","عاجل| متابعة إخبارية: ""شرطة الاحتلال تقتحم منزل الأسيرة المقدسية إسراء جعابيص قُبيل وصولها"""
4294967379,"26 November 2023, 01:41:50","متابعة إخبارية: ""لحظات العناق الأولى بعد الإفراج عن الأسيرة شروق دويات من بلدة صور باهر بالقدس."""
4294967380,"26 November 2023, 01:42:50","متابعة إخبارية: ""عناق الحرية.. صاحبة أعلى حكم للأسيرات في سجون الاحتلال..والمحكومة 16 عامًا الأسيرة شروق دويات في أحضان والدتها بعد خروجها ضمن صفقة المقاومة""."
4294967381,"26 November 2023, 01:45:47","متابعة إخبارية: ""أهالي مخيم قلنديا يزحفون نحو حاجز قلنديا لاستقبال الأسيرة المحررة نورهان عواد"""
4294967382,"26 November 2023, 01:48:30","متابعة إخبارية: ""مشاهد مؤثرة من لقاء الأسيرة المحررة نورهان عواد بعائلتها عقب الإفراج عنها ضمن صفقة المقاومة"""
4294967383,"26 November 2023, 01:50:19","متابعة إخبارية: ""لحظات وصول الأسيرة المحررة شروق دويات إلى منزلها في مدينة القدس"""
4294967386,"26 November 2023, 01:54:11","متابعة إخبارية: ""اقتحام منزل الأسيرة المقدسية المحررة إسراء جعابيص والاعتداء على الطواقم الصحفية والأهالي"""
4294967387,"26 November 2023, 01:57:01","متابعة إخبارية: ""اللحظات الأولى للقاء الأسيرة المقدسية شروق دويات المحررة ضمن صفقة المقاومة بعائلتها"""
4294967388,"26 November 2023, 01:58:21","متابعة إخبارية: ""كل قلوبنا مع أهل غزة"" الأسيرة المحررة نورهان عودة تصل إلى عائلتها بعد الإفراج عنها ضمن صفقة المقاومة"""
4294967389,"26 November 2023, 02:00:34","متابعة إخبارية: ""لحظات وصول الأسير المقدسي المحرر عمر الشويكي إلى منزله في بلدة سلوان جنوب الأقصى بعد الإفراج عنه ضمن صفقة المقاومة"""
4294967390,"26 November 2023, 02:03:45","متابعة إخبارية: ""قلوبنا مع أهل غزّة.. الأسيرة المقدسية المحررة نورهان عواد تستذكر أهالي غزة في أول لحظات حرّيتها.. يُذكر أنها حُكمت 10 سنوات قضت منهم 8 وتحررت اليوم ضمن صفقة المقاومة"""
4294967394,"26 November 2023, 02:09:13","متابعة إخبارية: ""جانب من استقبال الأسيرة المحررة نورهان عواد عند حاجز قلنديا شمال مدينة القدس"""
4294967395,"26 November 2023, 02:19:50","متابعة إخبارية: ""مشاهد من استقبال الأسرى المفرج عنهم ضمن صفقة المقاومة في بيتونيا""."
4294967396,"26 November 2023, 02:27:02","متابعة إخبارية: ""الأسيرة المقدسية نورهان عواد تتوجه إلى المقبرة قبل ذهابها إلى بيتها"""
4294967397,"26 November 2023, 02:30:30","متابعة إخبارية: ""لحظات مؤثرة.. لقاء الأسير المقدسي المحرر الفتى عمر الشويكي بعائلته في حي الثوري ببلدة سلوان جنوب المسجد الأقصى"""
4294967398,"26 November 2023, 02:33:39","متابعة إخبارية: ""لحظات الترقب قُبيل اللقاء.. والدة الأسيرة نورهان عواد في انتظار وصول ابنتها إلى منزلها في مخيم قلنديا شمال القدس"""
4294967399,"26 November 2023, 02:36:30","متابعة إخبارية: ""فرحٌ ممزوج بألم.. توجه الأسيرة نورهان عوّاد إلى قبر قريبتها هديل عواد التي استُشهِدت لحظة اعتقال نورهان"""
