ID,Date,Text
4294969918,"22 September 2023, 05:40:07","موضوع السنن الإلهية عظيم شريف مهيب، وهو من أعظم أبواب الفقه في الدين والعلم بالله سبحانه، ومن أهم ما يحتاجه المصلحون في طريقهم.

السلسلة القادمة بإذن الله تعالى وتوفيقه ستكون عن السنن الإلهية وأثرها في الإصلاح وفهم الواقع."
4294969919,"24 September 2023, 12:46:37",الوعي بالسنن الإلهية يُخرِج المؤمِن من ضيق الأزمة إلى سعة الحكمة
4294969920,"24 September 2023, 20:04:29","السنن الإلهية || المجلس الأول:

https://youtu.be/73hXXDc-WP8?feature=shared"
4294969921,"25 September 2023, 19:22:28","جواب عن سؤال من #أسئلة_البوت


السلام عليكم ورحمة الله تعالى وبركاته 
حياكم الله شيخنا الكريم وأطال بعمركم وحفظكم ونفع بكم وجزاكم عنا خير الجزاء

يا شيخي أنا أحس أني منافق وأن التزامي ليس خالصا أو حقيقيا مع أني محافظ على صلاتي وأقوم بالعبادات المفروضة وأسمع المحاضرات وأحضر مجالس الذكر إلا أنني أُحس أنه هناك نقصا في شيء ما 
فأريد ان أعرف، ماسبب هذا ؟ وماعلاجه ؟

وجزاكم الله خيرا"
4294969922,"25 September 2023, 19:47:53","وصلتني هذه الرسالة على #أسئلة_البوت واستأذنت من صاحبتها لنشرها؛ فأذِنَت، حفظها الله.

تقول:

شيخنا الفاضل كل التقدير والاحترام،
انا امرأة في سن والدتك،  شغوفة بالعلم وخصوصا ما يتعلق بالقرآن، تكونت كمعلمة  تدبر مع اكاديمية نبراس، ومع ذلك مازلت أطمح للكثير،
 ودخلت البناء المنهجي الدفعة 4 ،
سؤالي شيخي: العمر يجري، ومسار العلم يحتاج إلى وقت، ولا اقول إلى جهد لأني وهبته  لخدمة كتاب الله؛ فلا أبالي، ولا ابحث عن الراحة بل ابحث عن الطريق  المناسب لي لذا أردت أن تقدم لي نصيحة، الحمد لله انا في الطريق إلى العلم، فقط أسأل هل برنامج البناء المنهجي مناسب لي من أجل الدعوة؟
 مع العلم أنني مستمتعة بالدروس بل احيانا تراودني  أفكار أن اختصر المسار بمسار قصير المدى ومركز،  وأحيانا اقول هذه وساوس شيطانية يريد يثبطني عن السير قدماً فقلت ابعث لكم هذه الرسالة وما خاب من استشار"
4294969923,"25 September 2023, 23:00:48",مقتطفات من الحلقة الأولى من سلسلة السنن الإلهية
4294969924,"27 September 2023, 15:57:37","الحلقة الثانية من السنن الإلهية ستُنشَر يوم السبت القادم بمشيئة الله.
وعنوانها (سنّة إهلاك المكذبين والظالمين) 
وموضوعها التفصيلي: ضوابط منهجية لفهم سنّة الإهلاك.
ثم ستكون الحلقة الثالثة عن (موجبات حلول سنة الإهلاك).

ونسأل الله التوفيق والفقه والرشد والسداد."
4294969925,"30 September 2023, 16:03:40","السنن الإلهية ٠٢ || سنة إهلاك المكذبين والظالمين: ضوابط منهجية لفهم هذه السنّة:

https://youtu.be/tU_3tuhxAwY?feature=shared"
4294969926,"4 October 2023, 15:37:31"," فهرس برنامج ((يا بُنَيَّ إِنِّي مُعَلِّمُكَ)) 
 للوالدين :
كيف تُعلّم ولدك مُحكماتِ الإسلام 

  مقدمة - تعريف بالبرنامج

الحلقة ( ١ )
الحلقة ( ٢ )
الحلقة ( ٣ )
الحلقة ( ٤ )
الحلقة ( ٥ )
الحلقة ( ٦ )
الحلقة ( ٧ )
الحلقة ( ٨ )
الحلقة ( ٩ )
الحلقة ( ١٠ )
الحلقة ( ١١ )
الحلقة ( ١٢ )
الحلقة ( ١٣ )
الحلقة ( ١٤ )
الحلقة ( ١٥ )
الحلقة ( ١٦ )
الحلقة ( ١٧ )
الحلقة ( ١٨ )
الحلقة ( ١٩ )
الحلقة ( ٢٠ )
الحلقة ( ٢١ )
الحلقة ( ٢٢ )
الحلقة ( ٢٣ )
الحلقة ( ٢٤ )
الحلقة ( ٢٥ )
الحلقة ( ٢٦ )
الحلقة ( ٢٧ )
الحلقة ( ٢٨ )"
4294969927,"4 October 2023, 18:00:22
Original: 3 October 2023, 14:48:37",حين ترى كثرة الجهود الضائعة في تحقيق نهضة الأمة تدرك أن من أعظم ما تحتاجه الأمة اليوم: الهداية الربانية إلى المنهج الإصلاحي الذي يريده الله تعالى ويرضاه ويبارك فيه ويرعاه وينصر به دينه.
4294969928,"7 October 2023, 00:18:30",ستُنشر الحلقة الثالثة من سلسلة السنن الإلهية غداً السبت بإذن الله تعالى
4294969929,"7 October 2023, 11:12:05","الحمد لله رب العالمين:

﴿ويومئذ يفرح المؤمنون
 بنصر الله
 ينصر من يشاء
 وهو العزيز الرحيم﴾"
4294969930,"7 October 2023, 19:19:48","مقتطف
 من الحلقة الثالثة من السنن الإلهية:"
4294969931,"7 October 2023, 20:13:36","الحلقة الثالثة من سلسلة السنن الإلهية:
بعنوان:
موجبات سنة الإهلاك:

https://youtu.be/wtWMh6fGt2A?feature=shared"
4294969932,"8 October 2023, 13:59:44","في ظل انشغال العالم الإسلامي بما يحدث في فلسطين من انتصارات وبشريات؛ ينشغل النظام السوري والميليشيات الداعمة له بقصف المدنيين في إدلب، مع كونهم يدّعون الانتماء الدائم لفلسطين والقضية الفلسطينية؛ وهم في الحقيقة أعداء أمة محمد ﷺ وأعداء مقدساتها على مرّ التاريخ.
نسأل الله تعالى أن يحفظ دماء المسلمين، وأن يستر عوراتهم، ويُذلَّ أعداءهم."
4294969933,"8 October 2023, 20:27:14","إن الله سبحانه وتعالى حين بين لنا سننه، فقد بين لنا -كذلك- الحِكَم المرتبطة بها والمقاصد الغائية منها.
وكما أن المتفقه في الأحكام الشرعية لا يتم فقهه إلا بإدراك مقاصدها، فكذلك الباحث في السنن الإلهية لا يتم فقهه إلا بفهم مقاصدها.
وكما أن الفقه بمقاصد الأحكام الشرعية يعين على الإصابة عند الفتيا في النوازل الفقهية، فكذلك الفقه بمقاصد السنن يعين على الإصابة عند تنزيل السنن على الواقع.

وفي سلسلة السنن الإلهية سأتناول هذه المقاصد والحكم الربانية من السنن المتعلقة بالأمم والمجتمعات والنصر والهزيمة والأخذ والإهلاك بإذن الله تعالى،

والحلقة القادمة -وهي الرابعة- ستكون عن الحكم المتعلقة بسنة الإهلاك ومجازاة الظالمين وأخْذِهم بخزي الدنيا قبل خزي الآخرة"
4294969934,"10 October 2023, 01:04:46","لا إله إلا الله العظيم الحليم، يا ربنا احفظ أهل غزة واجعلها عليهم برداً وسلاماً.

الدعاء الدعاء"
4294969935,"10 October 2023, 07:13:36","(فما وهنوا لما أصابهم في سبيل الله)

https://youtu.be/xNZs8aGph5Q?feature=shared"
4294969936,"10 October 2023, 19:27:29",أهمية المحافظة على شعور التعاطف بين الأمة:
4294969937,"10 October 2023, 22:37:12",كلما أوقدوا ناراً للحرب أطفأها الله.
4294969938,"11 October 2023, 13:27:09","ليس غريباً رؤية انحياز القوى الغربية إلى المحتلين القتَلة، ولا كونهم ينظرون بعين عوراء إلى مآسينا وجراحنا؛ فلا يبصرون كل هذا الدمار الشديد والقتل للأطفال والإبادة الجماعية التي تحصل في غزة، على الرغم من كونها موثقة في كل وسائل الإعلام.
هذا كله ليس غريبا على من يعرف سبيل المجرمين من القرآن ثم التاريخ والواقع.
وإنما قد يكون ذلك غريباً على من كان يراهم الأنموذج البشري الكامل، وكانت غاية أمنياته أن يدرس في بلادهم، أو يتغذى على ثقافتهم ويعيد استنساخ حضارتهم.

القضية اليوم قضية عميقة الجذور، يجب أن تستثير فينا الحمية الإيمانية، وتعيد تشكيل وعي الغافلين منّا، والأهم من ذلك أن يكون لها أثر في الرجوع الحقيقي إلى الله سبحانه وتعالى، وترك سبل الضياع والغفلة والتيه والتفاهات وإهدار الأعمار والأوقات، ومن ثم القيام بالمسؤولية تجاه الإسلام والمسلمين بكل ما يمكن.
ومن لم توقظه كل هذه الآلام والمآسي وتكالب الأعداء فقد لا يستيقظ بعد ذلك إلا في قبره: (لقد كنت في غفلة من هذا فكشفنا عنك غطاءك فبصرك اليوم حديد)

 #كلنا_مع_غزة 
 #غزه_تحت_القصف"
4294969939,"11 October 2023, 16:20:14
Original: 11 October 2023, 15:44:31","It is not strange to see Western powers siding with the murderous occupiers. Nor is it strange that they look at our tragedies and wounds with a blind eye. They stand indifferent to the severe destruction, killing of children, and the genocide that is taking place in Gaza, that is despite it being well documented in the media.
All of this is not strange to those who are familiar with the path of criminals illustrated by not only the Qur’an, but also human history, and in today's reality.
However this may be strange to those who regard the West as the perfect model, and those whose ultimate wish is to study in their country, adopt their culture and emulate their civilization.

The issue today is a deep-rooted issue. It must arouse within us a sense of chauvinism towards our faith, reshape the awareness of those among us who are deep in their sleep. And most importantly it must have an impact on the true return to God Almighty, and the abandoning of the paths of heedlessness and triviality that squander our lives. This should be followed by taking initiatives towards the aiding of Muslims and Islam.
Whoever is not awakened by the pain and tragedies, and by the enemies’ attacks today, might never wake up after that, except tomorrow in his grave: (You were certainly in unmindfulness of this, and We have removed from you your cover, so your sight, this Day, is sharp)

Sheihk Ahmad Alsayed "
4294969940,"12 October 2023, 01:30:53","فزادهم إيماناً..

#غزة"
