ID,Date,Text
4295000575,"3 October 2023, 16:54:44","#عاجل القناة 14 العبرية:
أولي: سماع إطلاق نار من سلاح آلي في مستوطنة جان نير شمال جنين، ولا معلومات عن إصابات، والقوات تقوم بالتمشيط."
4295000576,"3 October 2023, 18:01:46","نتنياهو يرد على إدانة إيران للتطبيع مع السعودية:
بينما يصدّر نظام خامنئي الدمار والخراب، فإن إسرائيل تعمل على تعزيز التقدم والسلام، وكما لم تمنعنا إيران من تحقيق «اتفاقيات أبراها»، فلن تمنعنا إيران أيضاً من توسيع دائرة السلام، لصالح مواطني إسرائيل وشعوب المنطقة والإنسانية جمعاء."
4295000578,"3 October 2023, 21:28:01
Original: 2 October 2023, 20:32:48","شبان المقاومة يتصدون لقوات الاحتلال خلال اقتحام رام الله 

#فلسطين27"
4295000579,"3 October 2023, 21:34:06","يديعوت أحرونوت:
الحالة الثانية في إسرائيل: إصابة إسرائيلي عاد من تايلاند بحمى الضنك"
4295000580,"3 October 2023, 22:06:10","موقع القناة 7:
وزير الإسكان يتسحاك جولدكنوبف يهدد نتنياهو: ""إذا لم يتم إقرار قانون إعفاء الحريديين من التجنيد، سأستقيل من منصبي""."
4295000581,"4 October 2023, 05:54:29","موقع القناة 7:
الولايات المتحدة الأمريكية: لا يوجد حتى الآن إطار رسمي لاتفاق بين إسرائيل والسعودية"
4295000582,"4 October 2023, 07:58:43","القناة 14 العبرية:
أنهت بلدية القدس الاستعدادات لمسيرة القدس الـ 68 التي تقام خلال عيد العرش وستنطلق رسميا الساعة 15.00 اليوم ومن المتوقع أن يحضرها عشرات الآلاف - الشرطة أنهت الاستعدادات لتأمين المسيرة وستقوم بإغلاق العديد من الشوارع في المدينة"
4295000583,"4 October 2023, 08:03:50","إنقاذ بلا حدود:
إصابة مستوطنين اثنين رشقا بالحجارة في حوارة بالقرب من عينبوس"
4295000584,"4 October 2023, 09:37:11","قناة كان العبرية:
في أعقاب المضايقات المستمرة من المستوطنين ضد المسيحيين في القدس - رفضت السلطات الإسرائيلية مؤخرًا طلبا تقدم به رؤساء الطائفة المسيحية لتأمين الكنائس في القدس وحيفا - كما أن رجال الدين المسيحيين حذروا من انجرار الشباب المسيحي إلى ردود فعل مضادة."
4295000585,"4 October 2023, 09:57:34","مقر منظمات الهيكل:
وصول عضو الكنيست عميت هاليفي مع أطفاله إلى باحات الأقصى لتأدية طقوس عيد العرش"
4295000586,"4 October 2023, 10:12:36","يديعوت أحرونوت:
بعد الضجة والإدانات: اعتقال مستوطنين اثنين للاشتباه بقيامها بالبصق على مسيحيين في القدس"
4295000587,"4 October 2023, 11:00:03","القناة 12 العبرية:
قفز سعر صرف الدولار إلى 3.87 شيكل"
4295000588,"4 October 2023, 11:20:20","القناة 14 العبرية:
عشرات الآلاف من المستوطنين احتشدوا عند حائط البراق لأداء طقوس بركة الكهنة"
4295000589,"4 October 2023, 11:27:15","المتحدث باسم الجيش الإسرائيلي:
قوات الجيش والشاباك وحرس الحدود اعتقلت خلال الليل 17 فلسطينيا من أنحاء الضفة الغربية وصادرت أسلحة."
4295000590,"4 October 2023, 12:49:18","بعد أن كان مدينة صغيرة، أصبح بقايا صور
فيديو جديد حصري لساحات من داخل مخيم اليرموك بدمشق.

https://fb.watch/nsWBWOeoNR/?mibextid=2JQ9oc"
4295000591,"4 October 2023, 12:56:51","يديعوت أحرونوت:
توقيف 5 مشتبه بهم بالبصق على مسيحيين وعلى مدخل كنيسة في البلدة القديمة بالقدس"
4295000592,"4 October 2023, 13:25:31","موقع القناة 7:
3876 مستوطنا ""اقتحموا"" باحات الأقصى خلال عيد العرش"
4295000593,"4 October 2023, 15:07:22","القناة 14 العبرية:
بعد تكرار هجمات الرشق بالحجارة على طريق حوارة والتي أصيب فيها عدة مستوطنين في اليوم الأخير، قرر الجيش الإسرائيلي في خطوة غير معتادة إغلاق الطريق أمام حركة مرور الفلسطينيين والسماح فقط لمركبات المستوطنين بالمرور حتى إشعار آخر."
4295000594,"4 October 2023, 15:23:24","القناة 12 العبرية:
علمت القناة 12 من مسؤول مطلع على تفاصيل الجهود القطرية لتهدئة الوضع مع غزة، أنه من غير المتوقع أن تزيد قطر المنحة الشهرية البالغة 30 مليون دولار في المدى القريب، ويشمل المبلغ أموالا للعائلات المحتاجة ووقود لمحطة توليد الكهرباء في قطاع غزة ودفعات رواتب لموظفي غزة المدنيين."
4295000595,"4 October 2023, 15:51:10","حدشوت حموت:
وحدات خاصة من الشرطة تنتشر في القدس، وقوات أخرى تغلق عدة شوارع أمام حركة المرور بهدف تأمين مسيرة القدس التي خرجت من شارع بتسلئيل."
4295000596,"4 October 2023, 16:07:32","قناة كان العبرية:
بدء فعاليات مسيرة القدس بمشاركة الآلاف من المستوطنين والسياح الأجانب من عدة دول"
4295000597,"4 October 2023, 17:03:52","المتحدث باسم الجيش الإسرائيلي:
في أعقاب عدة حوادث رشق حجارة تجاه مركبات للمستوطنين كانت تسير على طريق حوارة خلال الساعات القليلة الماضية، تقرر إغلاق الطريق أمام المركبات الفلسطينية لمدة ثلاث ساعات تقريبًا، والآن أعيد فتحه"
4295000598,"4 October 2023, 17:10:37","موقع والا العبري:
قام كبار مستشاري رئيس الولايات المتحدة جو بايدن بزيارة سرية إلى المملكة العربية السعودية الأسبوع الماضي والتقوا بولي العهد محمد بن سلما، لمواصلة المحادثات حول الصفقة التي قد تشمل أيضًا اتفاق تطبيع بين السعودية وإسرائيل - هذا ما قاله لموقع والا مصدران مطلعان على الموضوع."
4295000599,"4 October 2023, 17:24:55","مقر منظمات الهيكل:
1302 مستوطنا ""اقتحموا"" باحات الأقصى اليوم، وارتفع عددهم لأكثر من 4000 منذ بدء عيد العرش"
4295000600,"4 October 2023, 18:05:39","متان تسوري:
جدار ثم جدار آخر، الفضاء والمساحات بغلاف غزة تتقلص - هذه المرة، بين نتيف هعسراه وياد مردخاي."
4295000601,"4 October 2023, 19:16:35","يديعوت أحرونوت:
عضو الكنيست يسرائيل إيخلر (يهدوت هتوراة): ""نحن في بلد ليس لدينا فيه أي حقوق على الإطلاق، كل ما لدينا هو دفع الضرائب والرسوم والالتزامات"""
4295000602,"4 October 2023, 19:45:53","القناة 12 العبرية:
قام وزير الأمن القومي إيتمار بن غفير بزيارة استثنائية مفاجئة ليلة ""الثلاثاء-الأربعاء) إلى سجن جلبوع بحضور العديد من الشخصيات والضباط - وفي سجن جلبوع فوجئوا بزيارة الوزير التي استمرت حوالي ساعة، تجول خلالها بن غفير، ونظر إلى السجن والتقط بعض الصور، لكن في مصلحة السجون لم يفهموا فائدة الزيارة ولماذا لم يتم إبلاغهم مسبقًا."
4295000603,"4 October 2023, 19:53:47","إذاعة الجيش: 
إصابة امرأة بجروح حرجة جدا جراء إطلاق نار في وادي عارة"
4295000604,"4 October 2023, 20:02:30",إذاعة الجيش: إصابة امرأة بجروح حرجة جدا جراء إطلاق نار في وادي عارة
4295000605,"4 October 2023, 20:56:57","القناة 13 العبرية:
على خلفية الوضع الأمني ​​وتقييمات المنظومة الأمنية، اتصل رئيس الشاباك رونين بار بوزير الأمن القومي إيتمار بن غفير وطلب منه عدم اقتحام المسجد الأقصى خلال عيد العرش"
